platform,job_title,category,skills_required,job_type,budget_usd,location_preference,duration_estimate,url
Freelancer.com,QUORA EXPERTS ONLY - Pay based on performance - up to $75 per hour,Mixed,"Article Rewriting, Article Writing, Content Writing, Quora, Research Writing",Fixed,11.0,Worldwide,Short-term,https://www.freelancer.com/projects/articles/quora-experts-only-pay-based
Freelancer.com,Invideo Video Creator Needed -- 2,Mixed,"Animation, Video Ads, Video Editing, Video Production, Video Services",Fixed,26.0,Worldwide,Short-term,https://www.freelancer.com/projects/video-services/invideo-video-creator-needed
Freelancer.com,Informational Educational Website Development,Mixed,"Graphic Design, HTML, PHP, Website Design",Fixed,80.0,Worldwide,Short-term,https://www.freelancer.com/projects/website-design/informational-educational-website-39509437
Freelancer.com,Flutter & Supabase Expense Tracker App,Mixed,"Android, Graphic Design, iPhone, Mobile App Development, User Interface / IA",Fixed,6.0,Worldwide,Short-term,https://www.freelancer.com/projects/mobile-app-development/flutter-supabase-expense-tracker-app
Freelancer.com,Brevo Email Automation Setup,Mixed,"Bulk Marketing, Email Handling, Email Marketing, Mailchimp, PHP",Fixed,51.0,Worldwide,Short-term,https://www.freelancer.com/projects/email-marketing/brevo-email-automation-setup
Freelancer.com,Emotional Modern-Day Romance Story,Mixed,"Article Writing, Book Writing, Creative Writing, Fiction, Ghostwriting",Fixed,15.0,Worldwide,Short-term,https://www.freelancer.com/projects/ghostwriting/emotional-modern-day-romance-story
Freelancer.com,2-Story Residential Floor Plan Design,Mixed,"3D Rendering, AutoCAD, Building Architecture, Home Design, Interior Design",Fixed,108.0,Worldwide,Short-term,https://www.freelancer.com/projects/building-architecture/story-residential-floor-plan-design
Freelancer.com,Actress required short videos,Mixed,"Data Entry, Fashion Modeling, Videography, Virtual Assistant",Fixed,20.0,Worldwide,Short-term,https://www.freelancer.com/projects/fashion-modeling/lead-actress-for-short-videos
Freelancer.com,Shopify Site Updations,Mixed,"eCommerce, HTML, Shopify, Shopify Templates, Website Design",Fixed,18.0,Worldwide,Short-term,https://www.freelancer.com/projects/shopify-site/shopify-site-updations
Freelancer.com,Comprehensive Women's Health and Wellness App,Mixed,"Graphic Design, iPhone, Mobile App Development, User Interface / IA, Website Design",Fixed,261.0,Worldwide,Short-term,https://www.freelancer.com/projects/iphone-app-development/comprehensive-women-health-wellness-app
Freelancer.com,Business Proposal PowerPoint,Mixed,"Brochure Design, Graphic Design, Marketing, Powerpoint, Presentations",Fixed,97.0,Worldwide,Short-term,https://www.freelancer.com/projects/brochure-design/business-proposal-powerpoint
Freelancer.com,https://www.freelancer.com/groups/general-announcements/feed/305566/comments,Mixed,"Facebook Marketing, Internet Marketing, Marketing, Social Media Marketing, Twitter",Fixed,307.0,Worldwide,Short-term,https://www.freelancer.com/projects/facebook-marketing/https-www-freelancer-com-groups
Freelancer.com,**Project Title**: Data Scraping for Professional Contact Details in Durg-RAIPUR District and Bhilai City,Mixed,"Data Entry, Data Mining, Excel, Web Scraping, Web Search",Fixed,21.0,Worldwide,Short-term,https://www.freelancer.com/projects/data-mining/project-title-data-scraping-for
Freelancer.com,Voice Recording & Whisper Transcription Development,Mixed,"Audio Services, English (US) Translator, Python, Software Architecture, Voice Talent",Fixed,86.0,Worldwide,Short-term,https://www.freelancer.com/projects/python/voice-recording-whisper-transcription
Freelancer.com,EMI Calculator - Android App Source Code,Mixed,"Android App Development, Android Studio, Coding, Java, Mobile App Development",Fixed,115.0,Worldwide,Short-term,https://www.freelancer.com/projects/mobile-app-development/emi-calculator-android-app-source
Freelancer.com,Passionate Content Writer,Mixed,"Article Writing, Blog, Content Writing, Copywriting, Ghostwriting",Fixed,6.0,Worldwide,Short-term,https://www.freelancer.com/projects/articles/passionate-content-writer-39509397
Freelancer.com,Thesis Refinement Specialist,Mixed,"Copy Typing, Copywriting, Creative Writing, Editing, Research Writing",Fixed,10.0,Worldwide,Short-term,https://www.freelancer.com/projects/editing/thesis-refinement-specialist
Freelancer.com,"Strong Python or full-stack developer  Experience with OpenAI, Google Sheets, and WordPress APIs  Skilled at PDF text/heading extraction",Mixed,"Google App Engine, JavaScript, PHP, Python, Software Architecture",Fixed,310.0,Worldwide,Short-term,https://www.freelancer.com/projects/python/strong-python-full-stack-developer
Freelancer.com,LinkedIn Content Strategy for Personal Branding,Mixed,"Article Writing, Content Writing, Copywriting, Creative Writing, Ghostwriting",Fixed,5.0,Worldwide,Short-term,https://www.freelancer.com/projects/content-writing/linkedin-content-strategy-for-personal
Freelancer.com,E-commerce Account Setup and Management,Mixed,"eCommerce, HTML, Shopify, Shopping Cart Integration, Website Design",Fixed,15.0,Worldwide,Short-term,https://www.freelancer.com/projects/ecommerce/commerce-account-setup-management
Freelancer.com,Tamil Zoho CRM Customization Expert Needed,Mixed,"CRM, HTML, Zoho CRM",Fixed,207.0,Worldwide,Short-term,https://www.freelancer.com/projects/crm/tamil-zoho-crm-customization-expert
Freelancer.com,Web Content Writer for ACME Website -- 2,Mixed,"Article Writing, Content Writing, Copywriting, Ghostwriting, Technical Writing",Fixed,556.0,Worldwide,Short-term,https://www.freelancer.com/projects/copywriting/web-content-writer-for-acme
Freelancer.com,WordPress Site Updating,Mixed,"Graphic Design, HTML, PHP, Website Design, WordPress",Fixed,72.0,Worldwide,Short-term,https://www.freelancer.com/projects/wordpress/wordpress-site-updating
Freelancer.com,Web Content Writer for ACME Website,Mixed,"Article Writing, Content Writing, Copywriting, Ghostwriting, Technical Writing",Fixed,562.0,Worldwide,Short-term,https://www.freelancer.com/projects/content-writing/web-content-writer-for-acme
